GameID,GameDate,HomeTeamID,HomeScore,AwayTeamID,AwayScore,Season
202101010GSW,2021-01-01,GSW,98,POR,123,2021
202101030GSW,2021-01-03,GSW,137,POR,122,2021
202101040GSW,2021-01-04,GSW,137,SAC,106,2021
202101060GSW,2021-01-06,GSW,101,LAC,108,2021
202101080GSW,2021-01-08,GSW,115,LAC,105,2021
202101100GSW,2021-01-10,GSW,106,TOR,105,2021
202101120GSW,2021-01-12,GSW,95,IND,104,2021
202101200GSW,2021-01-20,GSW,121,SAS,99,2021
202101210GSW,2021-01-21,GSW,104,NYK,119,2021
202101250GSW,2021-01-25,GSW,130,MIN,108,2021
202101270GSW,2021-01-27,GSW,123,MIN,111,2021
202101300GSW,2021-01-30,GSW,118,DET,91,2021
202102020GSW,2021-02-02,GSW,107,BOS,111,2021
202102110GSW,2021-02-11,GSW,111,ORL,105,2021
202102130GSW,2021-02-13,GSW,117,BRK,134,2021
202102150GSW,2021-02-15,GSW,129,CLE,98,2021
202102170GSW,2021-02-17,GSW,120,MIA,112,2021
202102260GSW,2021-02-26,GSW,130,CHO,121,2021
202103140GSW,2021-03-14,GSW,131,UTA,119,2021
202103150GSW,2021-03-15,GSW,97,LAL,128,2021
202103230GSW,2021-03-23,GSW,98,PHI,108,2021
202103260GSW,2021-03-26,GSW,108,ATL,124,2021
202103290GSW,2021-03-29,GSW,116,CHI,102,2021
202104060GSW,2021-04-06,GSW,122,MIL,121,2021
202104090GSW,2021-04-09,GSW,107,WAS,110,2021
202104100GSW,2021-04-10,GSW,125,HOU,109,2021
202104120GSW,2021-04-12,GSW,116,DEN,107,2021
202104230GSW,2021-04-23,GSW,118,DEN,97,2021
202104250GSW,2021-04-25,GSW,117,SAC,113,2021
202104270GSW,2021-04-27,GSW,103,DAL,133,2021
202105060GSW,2021-05-06,GSW,118,OKC,97,2021
202105080GSW,2021-05-08,GSW,136,OKC,97,2021
202105100GSW,2021-05-10,GSW,119,UTA,116,2021
202105110GSW,2021-05-11,GSW,122,PHO,116,2021
202105140GSW,2021-05-14,GSW,125,NOP,122,2021
202105160GSW,2021-05-16,GSW,113,MEM,101,2021
202012220BRK,2020-12-22,BRK,125,GSW,99,2021
202012300BRK,2020-12-30,BRK,145,ATL,141,2021
202101010BRK,2021-01-01,BRK,96,ATL,114,2021
202101030BRK,2021-01-03,BRK,122,WAS,123,2021
202101050BRK,2021-01-05,BRK,130,UTA,96,2021
202101230BRK,2021-01-23,BRK,128,MIA,124,2021
202101250BRK,2021-01-25,BRK,98,MIA,85,2021
202102020BRK,2021-02-02,BRK,124,LAC,120,2021
202102050BRK,2021-02-05,BRK,117,TOR,123,2021
202102100BRK,2021-02-10,BRK,104,IND,94,2021
202102230BRK,2021-02-23,BRK,127,SAC,118,2021
202102250BRK,2021-02-25,BRK,129,ORL,92,2021
202103110BRK,2021-03-11,BRK,121,BOS,109,2021
202103130BRK,2021-03-13,BRK,100,DET,95,2021
202103150BRK,2021-03-15,BRK,117,NYK,112,2021
202103210BRK,2021-03-21,BRK,113,WAS,106,2021
202103290BRK,2021-03-29,BRK,112,MIN,107,2021
202103310BRK,2021-03-31,BRK,120,HOU,108,2021
202104010BRK,2021-04-01,BRK,111,CHO,89,2021
202104050BRK,2021-04-05,BRK,114,NYK,112,2021
202104070BRK,2021-04-07,BRK,139,NOP,111,2021
202104100BRK,2021-04-10,BRK,101,LAL,126,2021
202104160BRK,2021-04-16,BRK,130,CHO,115,2021
202104230BRK,2021-04-23,BRK,109,BOS,104,2021
202104250BRK,2021-04-25,BRK,128,PHO,119,2021
202104300BRK,2021-04-30,BRK,109,POR,128,2021
202105150BRK,2021-05-15,BRK,105,CHI,91,2021
202105160BRK,2021-05-16,BRK,123,CLE,109,2021
202101100BRK,2021-01-10,BRK,116,OKC,129,2021
202101120BRK,2021-01-12,BRK,122,DEN,116,2021
202101160BRK,2021-01-16,BRK,122,ORL,115,2021
202101180BRK,2021-01-18,BRK,125,MIL,123,2021
202105120BRK,2021-05-12,BRK,128,SAS,116,2021
202012280BRK,2020-12-28,BRK,111,MEM,116,2021
202101070BRK,2021-01-07,BRK,122,PHI,109,2021
202102270BRK,2021-02-27,BRK,98,DAL,115,2021
202012270LAC,2020-12-27,LAC,73,DAL,124,2021
202012290LAC,2020-12-29,LAC,124,MIN,101,2021
202012300LAC,2020-12-30,LAC,128,POR,105,2021
202101050LAC,2021-01-05,LAC,113,SAS,116,2021
202101100LAC,2021-01-10,LAC,130,CHI,127,2021
202101130LAC,2021-01-13,LAC,111,NOP,106,2021
202101170LAC,2021-01-17,LAC,129,IND,96,2021
202101200LAC,2021-01-20,LAC,115,SAC,96,2021
202101220LAC,2021-01-22,LAC,120,OKC,106,2021
202101240LAC,2021-01-24,LAC,108,OKC,100,2021
202102170LAC,2021-02-17,LAC,96,UTA,114,2021
202102190LAC,2021-02-19,LAC,116,UTA,112,2021
202102210LAC,2021-02-21,LAC,108,BRK,112,2021
202102230LAC,2021-02-23,LAC,135,WAS,116,2021
202103110LAC,2021-03-11,LAC,130,GSW,104,2021
202103200LAC,2021-03-20,LAC,125,CHO,98,2021
202103220LAC,2021-03-22,LAC,119,ATL,110,2021
202103270LAC,2021-03-27,LAC,122,PHI,112,2021
202103290LAC,2021-03-29,LAC,129,MIL,105,2021
202104010LAC,2021-04-01,LAC,94,DEN,101,2021
202104040LAC,2021-04-04,LAC,104,LAL,86,2021
202104060LAC,2021-04-06,LAC,133,POR,116,2021
202104080LAC,2021-04-08,LAC,113,PHO,103,2021
202104090LAC,2021-04-09,LAC,126,HOU,109,2021
202104110LAC,2021-04-11,LAC,131,DET,124,2021
202104180LAC,2021-04-18,LAC,124,MIN,105,2021
202105010LAC,2021-05-01,LAC,104,DEN,110,2021
202105040LAC,2021-05-04,LAC,105,TOR,100,2021
202105060LAC,2021-05-06,LAC,118,LAL,94,2021
202105090LAC,2021-05-09,LAC,100,NYK,106,2021
202102050LAC,2021-02-05,LAC,115,BOS,119,2021
202102070LAC,2021-02-07,LAC,110,SAC,113,2021
202102150LAC,2021-02-15,LAC,125,MIA,118,2021
202103300LAC,2021-03-30,LAC,96,ORL,103,2021
202102140LAC,2021-02-14,LAC,128,CLE,111,2021
202104210LAC,2021-04-21,LAC,117,MEM,105,2021
202012220LAL,2020-12-22,LAL,109,LAC,116,2021
202012250LAL,2020-12-25,LAL,138,DAL,115,2021
202012280LAL,2020-12-28,LAL,107,POR,115,2021
202101070LAL,2021-01-07,LAL,109,SAS,118,2021
202101150LAL,2021-01-15,LAL,112,NOP,95,2021
202101180LAL,2021-01-18,LAL,113,GSW,115,2021
202102040LAL,2021-02-04,LAL,114,DEN,93,2021
202102060LAL,2021-02-06,LAL,135,DET,129,2021
202102120LAL,2021-02-12,LAL,115,MEM,105,2021
202104300LAL,2021-04-30,LAL,106,SAC,110,2021
202105020LAL,2021-05-02,LAL,114,TOR,121,2021
202105030LAL,2021-05-03,LAL,93,DEN,89,2021
202105090LAL,2021-05-09,LAL,123,PHO,110,2021
202105110LAL,2021-05-11,LAL,101,NYK,99,2021
202012270LAL,2020-12-27,LAL,127,MIN,91,2021
202101080LAL,2021-01-08,LAL,117,CHI,115,2021
202102080LAL,2021-02-08,LAL,119,OKC,112,2021
202102100LAL,2021-02-10,LAL,114,OKC,113,2021
202102180LAL,2021-02-18,LAL,98,BRK,109,2021
202102200LAL,2021-02-20,LAL,94,MIA,96,2021
202102220LAL,2021-02-22,LAL,124,WAS,127,2021
202102260LAL,2021-02-26,LAL,102,POR,93,2021
202102280LAL,2021-02-28,LAL,117,GSW,91,2021
202103020LAL,2021-03-02,LAL,104,PHO,114,2021
202103120LAL,2021-03-12,LAL,105,IND,100,2021
202103160LAL,2021-03-16,LAL,137,MIN,121,2021
202103180LAL,2021-03-18,LAL,116,CHO,105,2021
202103200LAL,2021-03-20,LAL,94,ATL,99,2021
202103250LAL,2021-03-25,LAL,101,PHI,109,2021
202103260LAL,2021-03-26,LAL,100,CLE,86,2021
202103280LAL,2021-03-28,LAL,96,ORL,93,2021
202103310LAL,2021-03-31,LAL,97,MIL,112,2021
202104150LAL,2021-04-15,LAL,113,BOS,121,2021
